	#assembly_accession	bioproject	biosample	wgs_master	refseq_category	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	asm_submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	excluded_from_refseq	relation_to_type_material	asm_not_live_date	assembly_type	group	genome_size	genome_size_ungapped	gc_percent	replicon_count	scaffold_count	contig_count	annotation_provider	annotation_name	annotation_date	total_gene_count	protein_coding_gene_count	non_coding_gene_count	pubmed_id	Taxonomy
385717	GCF_905147765.1	PRJNA822355	SAMEA7523145	CAJHWX000000000.2	reference genome	42275	42275	Vanessa atalanta	na	na	latest	Chromosome	Major	Full	2021/09/28	ilVanAtal1.2	Wellcome Sanger Institute	GCA_905147765.2	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/905/147/765/GCF_905147765.1_ilVanAtal1.2	na	na	na	haploid	invertebrate	370420815	370417233	33.0	32	141	141	NCBI RefSeq	NCBI Vanessa atalanta Annotation Release 100	2022-04-04	14188	12431	1589	na	Arthropods
385718	GCF_905147795.1	PRJNA789913	SAMEA7523164	CAJHWY000000000.1	reference genome	64459	64459	Pieris rapae	na	na	latest	Chromosome	Major	Full	2021/01/28	ilPieRapa1.1	Wellcome Sanger Institute	GCA_905147795.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/905/147/795/GCF_905147795.1_ilPieRapa1.1	na	na	na	haploid	invertebrate	256355036	256354036	33.0	26	39	39	NCBI RefSeq	NCBI Pieris rapae Annotation Release 101	2021-12-22	13630	12147	1396	na	Arthropods
385720	GCF_905163445.1	PRJNA706764	SAMEA7532732	CAJHZN000000000.1	reference genome	116150	116150	Pararge aegeria	na	na	latest	Chromosome	Major	Full	2021/01/28	ilParAegt1.1	Wellcome Sanger Institute	GCA_905163445.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/905/163/445/GCF_905163445.1_ilParAegt1.1	na	na	na	haploid	invertebrate	516571003	516569005	36.0	29	70	70	NCBI RefSeq	NCBI Pararge aegeria Annotation Release 100	2021-03-05	14745	13515	997	na	Arthropods
386037	GCF_905220365.1	PRJNA791607	SAMEA7523147	CAJMZP000000000.1	reference genome	171605	171605	Vanessa cardui	na	na	latest	Chromosome	Major	Full	2021/02/16	ilVanCard2.1	WELLCOME SANGER INSTITUTE	GCA_905220365.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/905/220/365/GCF_905220365.1_ilVanCard2.1	na	na	na	haploid	invertebrate	424798336	424772036	33.5	32	36	36	NCBI RefSeq	NCBI Vanessa cardui Annotation Release 100	2022-03-10	15000	13223	1565	na	Arthropods
386038	GCF_905220415.1	PRJNA792511	SAMEA7523360	na	reference genome	72248	72248	Colias croceus	na	na	latest	Chromosome	Major	Full	2021/02/16	ilColCroc2.1	WELLCOME SANGER INSTITUTE	GCA_905220415.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/905/220/415/GCF_905220415.1_ilColCroc2.1	na	na	na	haploid	invertebrate	324897031	324893731	33.5	32	32	32	NCBI RefSeq	NCBI Colias croceus Annotation Release 100	2021-12-27	15772	13592	2068	na	Arthropods
386039	GCF_905220565.1	PRJNA787967	SAMEA7523475	na	reference genome	113334	113334	Melitaea cinxia	na	na	latest	Chromosome	Major	Full	2021/02/16	ilMelCinx1.1	WELLCOME SANGER INSTITUTE	GCA_905220565.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/905/220/565/GCF_905220565.1_ilMelCinx1.1	na	na	na	haploid	invertebrate	499397863	499372863	34.0	31	31	31	NCBI RefSeq	NCBI Melitaea cinxia Annotation Release 100	2021-12-13	17197	13771	3071	25189940	Arthropods
386245	GCF_905332965.1	PRJNA1036669	SAMEA7520484	CAJOSQ000000000.1	reference genome	65598	65598	Bombus pascuorum	na	na	latest	Chromosome	Major	Full	2021/03/19	iyBomPasc1.1	WELLCOME SANGER INSTITUTE	GCA_905332965.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/905/332/965/GCF_905332965.1_iyBomPasc1.1	na	na	na	haploid	invertebrate	307548333	307537816	36.0	17	81	81	NCBI RefSeq	GCF_905332965.1-RS_2023_11	2023-11-10	12432	10380	1835	na	Arthropods
386246	GCF_905333055.1	PRJNA795494	SAMEA7523158	CAJOSP000000000.1	reference genome	191418	191418	Maniola jurtina	na	na	latest	Chromosome	Major	Full	2021/03/19	ilManJurt1.1	WELLCOME SANGER INSTITUTE	GCA_905333055.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/905/333/055/GCF_905333055.1_ilManJurt1.1	na	na	na	haploid	invertebrate	402038846	402035149	37.0	30	31	31	NCBI RefSeq	NCBI Maniola jurtina Annotation Release 100	2022-01-11	17227	13777	3319	na	Arthropods
386411	GCF_905404315.1	PRJNA880305	SAMEA7523467	CAJQFP000000000.1	reference genome	189913	189913	Leptidea sinapis	na	na	latest	Chromosome	Major	Full	2021/04/15	ilLepSina1.1	WELLCOME SANGER INSTITUTE	GCA_905404315.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/905/404/315/GCF_905404315.1_ilLepSina1.1	na	na	na	haploid	invertebrate	685583065	685580765	35.5	48	49	49	NCBI RefSeq	NCBI Leptidea sinapis Annotation Release 100	2022-09-15	15767	12469	2909	na	Arthropods
386414	GCF_905475345.1	PRJNA885043	SAMEA7520502	CAJQFS000000000.1	reference genome	7454	7454	Vespula vulgaris	na	na	latest	Chromosome	Major	Full	2021/04/15	iyVesVulg1.1	WELLCOME SANGER INSTITUTE	GCA_905475345.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/905/475/345/GCF_905475345.1_iyVesVulg1.1	na	na	na	haploid	invertebrate	188185082	188178882	34.5	25	27	27	NCBI RefSeq	NCBI Vespula vulgaris Annotation Release 100	2022-09-30	11788	9996	1753	na	Arthropods
386415	GCF_905475395.1	PRJNA774319	SAMEA7520372	CAJQGA000000000.1	reference genome	189513	189513	Chrysoperla carnea	na	na	latest	Chromosome	Major	Full	2021/04/15	inChrCarn1.1	WELLCOME SANGER INSTITUTE	GCA_905475395.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/905/475/395/GCF_905475395.1_inChrCarn1.1	na	na	na	haploid	invertebrate	560232532	560205032	29.0	6	337	337	NCBI RefSeq	NCBI Chrysoperla carnea Annotation Release 100	2021-10-25	15864	12985	2751	na	Arthropods
386416	GCF_905475465.1	PRJNA823930	SAMEA7523287	CAJQFT000000000.2	reference genome	78633	78633	Pieris napi	na	na	latest	Chromosome	Major	Full	2022/01/30	ilPieNapi1.2	WELLCOME SANGER INSTITUTE	GCA_905475465.2	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/905/475/465/GCF_905475465.1_ilPieNapi1.2	na	na	na	haploid	invertebrate	319186907	319182007	34.0	26	42	42	NCBI RefSeq	NCBI Pieris napi Annotation Release 100	2022-04-07	15372	12810	2360	na	Arthropods
386468	GCF_907164935.1	PRJNA802130	SAMEA5248723	CAJRAL000000000.1	reference genome	1437191	1437190	Osmia bicornis bicornis	na	na	latest	Chromosome	Major	Full	2021/05/17	iOsmBic2.1	WELLCOME SANGER INSTITUTE	GCA_907164935.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/907/164/935/GCF_907164935.1_iOsmBic2.1	na	na	na	haploid	invertebrate	222969496	222926281	39.5	16	441	441	NCBI RefSeq	NCBI Osmia bicornis bicornis Annotation Release 101	2022-01-31	12706	11362	1268	na	Arthropods
386473	GCF_907165205.1	PRJNA773503	SAMEA7520205	CAJRAZ000000000.1	reference genome	41139	41139	Coccinella septempunctata	na	na	latest	Chromosome	Major	Full	2021/05/17	icCocSept1.1	WELLCOME SANGER INSTITUTE	GCA_907165205.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/907/165/205/GCF_907165205.1_icCocSept1.1	na	na	na	haploid	invertebrate	398849173	398825580	36.5	10	24	24	NCBI RefSeq	NCBI Coccinella septempunctata Annotation Release 100	2021-10-25	16932	14769	2116	na	Arthropods
386811	GCF_910589235.1	PRJNA809765	SAMEA7520500	CAJUUB000000000.2	reference genome	7445	7445	Vespa crabro	na	na	latest	Chromosome	Major	Full	2022/02/09	iyVesCrab1.2	WELLCOME SANGER INSTITUTE	GCA_910589235.2	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/910/589/235/GCF_910589235.1_iyVesCrab1.2	na	na	na	haploid	invertebrate	229313526	229285326	31.5	25	99	99	NCBI RefSeq	NCBI Vespa crabro Annotation Release 100	2022-02-24	11725	10204	1416	na	Arthropods
386887	GCF_910591565.1	PRJNA1074369	SAMEA7701547	CAJUYE000000000.2	reference genome	1100963	1100963	Cydia splendana	na	na	latest	Chromosome	Major	Full	2022/10/11	ilCydSple1.2	WELLCOME SANGER INSTITUTE	GCA_910591565.2	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/910/591/565/GCF_910591565.1_ilCydSple1.2	na	na	na	haploid	invertebrate	630601649	630562649	38.0	28	111	111	NCBI RefSeq	GCF_910591565.1-RS_2024_02	2024-02-10	17541	14646	2713	na	Arthropods
386892	GCF_910591885.1	PRJNA839043	SAMEA7520487	CAJUYY000000000.2	reference genome	30195	30195	Bombus terrestris	na	na	latest	Chromosome	Major	Full	2022/02/09	iyBomTerr1.2	WELLCOME SANGER INSTITUTE	GCA_910591885.2	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/910/591/885/GCF_910591885.1_iyBomTerr1.2	na	na	na	haploid	invertebrate	392962041	392948208	38.5	18	249	249	NCBI RefSeq	NCBI Bombus terrestris Annotation Release 103	2022-05-20	13398	10310	2940	na	Arthropods
386969	GCF_912470025.1	PRJNA822380	SAMEA5248726	CAJVVP000000000.1	reference genome	202808	202808	Vespa velutina	na	na	latest	Chromosome	Major	Full	2021/08/14	iVesVel2.1	WELLCOME SANGER INSTITUTE	GCA_912470025.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/912/470/025/GCF_912470025.1_iVesVel2.1	na	na	na	haploid	invertebrate	193976845	193880013	33.0	25	42	42	NCBI RefSeq	NCBI Vespa velutina Annotation Release 100	2022-04-05	11659	10059	1542	na	Arthropods
386972	GCF_912999745.1	PRJNA794135	SAMEA7523121	CAJVWC000000000.1	reference genome	76193	76193	Papilio machaon	na	na	latest	Chromosome	Major	Full	2021/08/18	ilPapMach1.1	WELLCOME SANGER INSTITUTE	GCA_912999745.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/912/999/745/GCF_912999745.1_ilPapMach1.1	na	na	na	haploid	invertebrate	252114018	252112918	34.5	31	33	33	NCBI RefSeq	NCBI Papilio machaon Annotation Release 101	2022-01-05	14718	13379	1238	na	Arthropods
387278	GCF_914767665.1	PRJNA788959	SAMEA7520208	CAJZBN000000000.1	reference genome	115357	115357	Harmonia axyridis	na	na	latest	Chromosome	Major	Full	2021/09/16	icHarAxyr1.1	WELLCOME SANGER INSTITUTE	GCA_914767665.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/914/767/665/GCF_914767665.1_icHarAxyr1.1	na	na	na	haploid	invertebrate	425524972	425487872	35.0	8	13	13	NCBI RefSeq	NCBI Harmonia axyridis Annotation Release 100	2021-12-20	18548	13899	4236	na	Arthropods
387512	GCF_917208135.1	PRJNA846876	SAMEA7520481	CAKJPL000000000.1	reference genome	37344	37344	Athalia rosae	na	na	latest	Chromosome	Major	Full	2021/10/13	iyAthRosa1.1	WELLCOME SANGER INSTITUTE	GCA_917208135.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/917/208/135/GCF_917208135.1_iyAthRosa1.1	na	na	na	haploid	invertebrate	171955050	171938294	41.5	8	14	14	NCBI RefSeq	NCBI Athalia rosae Annotation Release 103	2022-06-08	13515	11393	2035	na	Arthropods
387513	GCF_917563875.1	PRJNA862183	SAMEA10259683	na	reference genome	50390	50389	Diabrotica virgifera virgifera	na	na	latest	Chromosome	Major	Full	2022/07/29	PGI_DIABVI_V3a	ROTHAMSTED RESEARCH	GCA_917563875.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/917/563/875/GCF_917563875.1_PGI_DIABVI_V3a	na	na	na	haploid	invertebrate	2533404242	2533094815	33.0	10	10	10	NCBI RefSeq	NCBI Diabrotica virgifera virgifera Annotation Release 101	2022-08-25	24968	19526	5234	na	Arthropods
387724	GCF_921293095.1	PRJNA802257	SAMEA7521125	CAKLCU000000000.1	reference genome	197161	197161	Ischnura elegans	na	na	latest	Chromosome	Major	Full	2021/12/05	ioIscEleg1.1	WELLCOME SANGER INSTITUTE	GCA_921293095.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/921/293/095/GCF_921293095.1_ioIscEleg1.1	na	na	na	haploid	invertebrate	1722738530	1722658430	38.5	14	110	110	NCBI RefSeq	NCBI Ischnura elegans Annotation Release 100	2022-02-02	21087	15994	4927	na	Arthropods
388188	GCF_932276165.1	PRJNA845908	SAMEA7520369	CAKNZZ000000000.1	reference genome	51655	51655	Plutella xylostella	na	na	latest	Chromosome	Major	Full	2022/03/10	ilPluXylo3.1	WELLCOME SANGER INSTITUTE	GCA_932276165.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/932/276/165/GCF_932276165.1_ilPluXylo3.1	na	na	na	haploid	invertebrate	323302761	323300961	38.5	31	33	33	NCBI RefSeq	NCBI Plutella xylostella Annotation Release 103	2022-06-06	16283	13971	2258	na	Arthropods
389925	GCF_943734635.1	PRJNA922132	SAMEA12928215	CALSDP000000000.1	reference genome	68878	68878	Anopheles cruzii	na	na	latest	Chromosome	Major	Full	2022/06/24	idAnoCruzAS_RS32_06	WELLCOME SANGER INSTITUTE	GCA_943734635.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/943/734/635/GCF_943734635.1_idAnoCruzAS_RS32_06	na	na	na	haploid	invertebrate	184069349	182969213	49.0	3	5088	5088	NCBI RefSeq	GCF_943734635.1-RS_2023_02	2023-02-23	12401	11841	452	na	Arthropods
389926	GCF_943734655.1	PRJNA937740	SAMEA12928247	CALSDR000000000.2	reference genome	53552	53552	Sabethes cyaneus	na	na	latest	Chromosome	Major	Full	2022/09/15	idSabCyanKW18_F2	WELLCOME SANGER INSTITUTE	GCA_943734655.2	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/943/734/655/GCF_943734655.1_idSabCyanKW18_F2	na	na	na	haploid	invertebrate	676043992	676021992	40.0	3	8	8	NCBI RefSeq	GCF_943734655.1-RS_2023_02	2023-02-24	14156	13094	805	na	Arthropods
389927	GCF_943734665.1	PRJNA862463	SAMEA12928206	CALSDQ000000000.1	reference genome	42839	42839	Anopheles aquasalis	na	na	latest	Chromosome	Major	Full	2022/06/24	idAnoAquaMG_Q_19	WELLCOME SANGER INSTITUTE	GCA_943734665.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/943/734/665/GCF_943734665.1_idAnoAquaMG_Q_19	na	na	na	haploid	invertebrate	176573000	176564600	48.0	4	90	90	NCBI RefSeq	NCBI Anopheles aquasalis Annotation Release 100	2022-08-22	12989	11511	1366	na	Arthropods
389928	GCF_943734685.1	PRJNA858859	SAMEA12928211	CALSDT000000000.1	reference genome	1518534	1518534	Anopheles coluzzii	na	na	latest	Chromosome	Major	Full	2022/06/24	AcolN3	WELLCOME SANGER INSTITUTE	GCA_943734685.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/943/734/685/GCF_943734685.1_AcolN3	na	na	na	haploid	invertebrate	262602229	262591929	44.5	3	128	128	NCBI RefSeq	NCBI Anopheles coluzzii Annotation Release 101	2022-07-15	14579	12410	1951	na	Arthropods
389929	GCF_943734695.1	PRJNA862529	SAMEA12928236	CALSDU000000000.1	reference genome	1496333	1496333	Anopheles maculipalpis	na	na	latest	Chromosome	Major	Full	2022/06/24	idAnoMacuDA_375_x	WELLCOME SANGER INSTITUTE	GCA_943734695.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/943/734/695/GCF_943734695.1_idAnoMacuDA_375_x	na	na	na	haploid	invertebrate	224059441	224053941	43.0	3	170	170	NCBI RefSeq	NCBI Anopheles maculipalpis Annotation Release 100	2022-08-09	12929	11533	1052	na	Arthropods
389930	GCF_943734705.1	PRJNA933203	SAMEA12928213	CALSDV000000000.2	reference genome	139045	139045	Anopheles coustani	na	na	latest	Chromosome	Major	Full	2023/04/08	idAnoCousDA_361_x.2	WELLCOME SANGER INSTITUTE	GCA_943734705.2	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/943/734/705/GCF_943734705.1_idAnoCousDA_361_x.2	na	na	na	haploid	invertebrate	269983652	269970552	44.0	3	419	419	NCBI RefSeq	GCF_943734705.1-RS_2023_07	2023-07-18	14493	12032	2240	na	Arthropods
389931	GCF_943734725.1	PRJNA935337	SAMEA12928237	CALSDX000000000.1	reference genome	1521116	1521116	Anopheles marshallii	na	na	latest	Chromosome	Major	Full	2022/06/24	idAnoMarsDA_429_01	WELLCOME SANGER INSTITUTE	GCA_943734725.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/943/734/725/GCF_943734725.1_idAnoMarsDA_429_01	na	na	na	haploid	invertebrate	225712104	225707104	43.5	3	288	288	NCBI RefSeq	GCF_943734725.1-RS_2023_02	2023-02-15	13358	11720	1201	na	Arthropods
389932	GCF_943734735.2	PRJNA856691	SAMEA12928234	CALSDY000000000.2	reference genome	7165	7165	Anopheles gambiae	na	na	latest	Chromosome	Major	Full	2022/09/09	idAnoGambNW_F1_1	WELLCOME SANGER INSTITUTE	GCA_943734735.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/943/734/735/GCF_943734735.2_idAnoGambNW_F1_1	na	na	na	haploid	invertebrate	264451381	264435381	44.5	3	190	190	NCBI RefSeq	GCF_943734735.2-RS_2023_12	2023-12-16	15165	12519	2284	na	Arthropods
389933	GCF_943734745.1	PRJNA862536	SAMEA12928218	CALSDZ000000000.1	reference genome	43151	43151	Anopheles darlingi	na	na	latest	Chromosome	Major	Full	2022/06/24	idAnoDarlMG_H_01	WELLCOME SANGER INSTITUTE	GCA_943734745.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/943/734/745/GCF_943734745.1_idAnoDarlMG_H_01	na	na	na	haploid	invertebrate	181637336	181624736	48.0	3	65	65	NCBI RefSeq	NCBI Anopheles darlingi Annotation Release 100	2022-07-27	12393	11222	1119	na	Arthropods
389934	GCF_943734755.1	PRJNA918695	SAMEA12928240	CALSEA000000000.1	reference genome	186751	186751	Anopheles moucheti	na	na	latest	Chromosome	Major	Full	2022/06/24	idAnoMoucSN_F20_07	WELLCOME SANGER INSTITUTE	GCA_943734755.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/943/734/755/GCF_943734755.1_idAnoMoucSN_F20_07	na	na	na	haploid	invertebrate	271316723	271297023	43.0	3	345	345	NCBI RefSeq	GCF_943734755.1-RS_2023_02	2023-02-23	14232	11872	1778	na	Arthropods
389935	GCF_943734765.1	PRJNA996518	SAMEA12928214	CALSEB000000000.2	reference genome	345580	345580	Anopheles ziemanni	na	na	latest	Chromosome	Major	Full	2023/04/08	idAnoZiCoDA_A2_x.2	WELLCOME SANGER INSTITUTE	GCA_943734765.2	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/943/734/765/GCF_943734765.1_idAnoZiCoDA_A2_x.2	na	na	na	haploid	invertebrate	269983652	269970552	44.0	3	419	419	NCBI RefSeq	GCF_943734765.1-RS_2023_07	2023-07-20	14085	11791	2083	na	Arthropods
389936	GCF_943734845.2	PRJNA856686	SAMEA12928227	CALSEJ000000000.1	reference genome	62324	62324	Anopheles funestus	na	na	latest	Chromosome	Minor	Full	2022/06/24	idAnoFuneDA-416_04	WELLCOME SANGER INSTITUTE	GCA_943734845.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/943/734/845/GCF_943734845.2_idAnoFuneDA-416_04	na	na	na	haploid	invertebrate	250698078	250689478	41.5	3	329	329	NCBI RefSeq	NCBI Anopheles funestus Annotation Release 100	2022-07-14	14819	12092	2280	na	Arthropods
389937	GCF_943735745.2	PRJNA933197	SAMEA12928208	CALSEL000000000.2	reference genome	139047	139047	Anopheles bellator	na	na	latest	Chromosome	Major	Full	2023/04/08	idAnoBellAS_SP24_06.2	WELLCOME SANGER INSTITUTE	GCA_943735745.2	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/943/735/745/GCF_943735745.2_idAnoBellAS_SP24_06.2	na	na	na	haploid	invertebrate	169575294	166029201	49.0	3	2985	2985	NCBI RefSeq	GCF_943735745.2-RS_2023_07	2023-07-14	11682	11226	422	27146682	Arthropods
389948	GCF_943737925.1	PRJNA934361	SAMEA12928243	CALSGA000000000.1	reference genome	185578	185578	Anopheles nili	na	na	latest	Chromosome	Major	Full	2022/06/24	idAnoNiliSN_F5_01	WELLCOME SANGER INSTITUTE	GCA_943737925.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/943/737/925/GCF_943737925.1_idAnoNiliSN_F5_01	na	na	na	haploid	invertebrate	195220701	195187201	46.0	3	156	156	NCBI RefSeq	GCF_943737925.1-RS_2023_02	2023-02-14	12354	11009	1224	na	Arthropods
390362	GCF_945859685.1	PRJNA970684	SAMEA7524255	CAMAOT000000000.1	reference genome	290404	290404	Eupeodes corollae	na	na	latest	Chromosome	Major	Full	2022/09/13	idEupCoro1.1	WELLCOME SANGER INSTITUTE	GCA_945859685.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/945/859/685/GCF_945859685.1_idEupCoro1.1	na	na	na	haploid	invertebrate	648195582	647930782	34.0	4	783	783	NCBI RefSeq	GCF_945859685.1-RS_2023_05	2023-05-10	15947	13690	1970	na	Arthropods
390363	GCF_945859705.1	PRJNA967719	SAMEA7520035	CAMAOR000000000.1	reference genome	286459	286459	Episyrphus balteatus	na	na	latest	Chromosome	Major	Full	2022/09/13	idEpiBalt1.1	WELLCOME SANGER INSTITUTE	GCA_945859705.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/945/859/705/GCF_945859705.1_idEpiBalt1.1	na	na	na	haploid	invertebrate	535345329	535311729	31.0	5	18	18	NCBI RefSeq	GCF_945859705.1-RS_2023_05	2023-05-05	16500	13663	2635	na	Arthropods
391733	GCF_947172395.1	PRJNA914314	SAMEA9252597	CAMWEB000000000.1	reference genome	110368	110368	Bicyclus anynana	na	na	latest	Chromosome	Major	Full	2022/10/28	ilBicAnyn1.1	WELLCOME SANGER INSTITUTE	GCA_947172395.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/947/172/395/GCF_947172395.1_ilBicAnyn1.1	na	na	na	haploid	invertebrate	457159770	457022170	36.5	28	82	82	NCBI RefSeq	GCF_947172395.1-RS_2022_12	2022-12-21	15144	13577	1476	na	Arthropods
392624	GCF_947563725.1	PRJNA970801	SAMEA10978988	CANOBD000000000.1	reference genome	94029	94029	Argiope bruennichi	na	na	latest	Chromosome	Major	Full	2022/12/13	qqArgBrue1.1	WELLCOME SANGER INSTITUTE	GCA_947563725.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/947/563/725/GCF_947563725.1_qqArgBrue1.1	na	na	na	haploid	invertebrate	1778384155	1778345938	29.5	13	29	29	NCBI RefSeq	GCF_947563725.1-RS_2023_05	2023-05-10	37666	18361	19098	33410470	Arthropods
392636	GCF_947568885.1	PRJNA1074808	SAMEA110451554	CANOQN000000000.1	reference genome	1100964	1100964	Cydia strobilella	na	na	latest	Chromosome	Major	Full	2022/12/16	ilCydStro3.1	WELLCOME SANGER INSTITUTE	GCA_947568885.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/947/568/885/GCF_947568885.1_ilCydStro3.1	na	na	na	haploid	invertebrate	542588748	542575948	38.0	28	29	29	NCBI RefSeq	GCF_947568885.1-RS_2024_02	2024-02-09	15974	14042	1757	na	Arthropods
392923	GCF_948474715.1	PRJNA1074829	SAMEA111458729	CAOLDY000000000.1	reference genome	1869771	1869771	Cydia amplana	na	na	latest	Chromosome	Major	Full	2023/02/03	ilCydAmpl1.1	WELLCOME SANGER INSTITUTE	GCA_948474715.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/948/474/715/GCF_948474715.1_ilCydAmpl1.1	na	na	na	haploid	invertebrate	504318984	504304984	38.0	28	39	39	NCBI RefSeq	GCF_948474715.1-RS_2024_02	2024-02-09	16089	14262	1728	na	Arthropods
398417	GCF_949628265.1	PRJNA1112833	SAMEA7520803	CATIVH000000000.1	reference genome	197152	197152	Cloeon dipterum	na	na	latest	Chromosome	Major	Full	2023/03/17	ieCloDipt1.1	WELLCOME SANGER INSTITUTE	GCA_949628265.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/949/628/265/GCF_949628265.1_ieCloDipt1.1	na	na	na	haploid	invertebrate	190111064	190097864	40.0	5	10	10	NCBI RefSeq	GCF_949628265.1-RS_2024_05	2024-05-22	14761	13282	1440	na	Arthropods
398530	GCF_950023065.1	PRJNA1108321	SAMEA7523510	CATLOI000000000.1	reference genome	170843	170843	Planococcus citri	na	na	latest	Chromosome	Major	Full	2023/05/01	ihPlaCitr1.1	WELLCOME SANGER INSTITUTE	GCA_950023065.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/950/023/065/GCF_950023065.1_ihPlaCitr1.1	na	na	na	haploid	invertebrate	403646906	403641706	34.5	5	9	9	NCBI RefSeq	GCF_950023065.1-RS_2024_05	2024-05-09	19042	16596	2358	na	Arthropods
399752	GCF_958450345.1	PRJNA1112357	SAMEA7521395	CAUDLU000000000.1	reference genome	7373	7373	Calliphora vicina	na	na	latest	Chromosome	Major	Full	2023/07/18	idCalVici1.1	WELLCOME SANGER INSTITUTE	GCA_958450345.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/958/450/345/GCF_958450345.1_idCalVici1.1	na	na	na	haploid	invertebrate	706524439	706497839	30.0	6	117	117	NCBI RefSeq	GCF_958450345.1-RS_2024_05	2024-05-22	15683	13778	1659	na	Arthropods
400249	GCF_963082655.1	PRJNA1009844	SAMEA112222201	CAUJBY000000000.1	reference genome	35570	35570	Stomoxys calcitrans	na	na	latest	Chromosome	Major	Full	2023/08/09	idStoCalc2.1	WELLCOME SANGER INSTITUTE	GCA_963082655.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/963/082/655/GCF_963082655.1_idStoCalc2.1	na	na	na	haploid	invertebrate	1070934565	1070633365	38.5	5	297	297	NCBI RefSeq	GCF_963082655.1-RS_2023_08	2023-08-29	18462	15178	3141	na	Arthropods
401664	GCF_963556715.1	PRJNA1074368	SAMEA7701453	CAUWAK000000000.1	reference genome	1458189	1458189	Cydia fagiglandana	na	na	latest	Chromosome	Major	Full	2023/10/23	ilCydFagi1.1	WELLCOME SANGER INSTITUTE	GCA_963556715.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/963/556/715/GCF_963556715.1_ilCydFagi1.1	na	na	na	haploid	invertebrate	555051570	555046970	38.0	28	36	36	NCBI RefSeq	GCF_963556715.1-RS_2024_02	2024-02-09	17300	14898	2259	na	Arthropods
